Group A,vs. Group B,Top 10 Relative Traits,Average Valence
东北,江苏,"硬汉, 豪放, 好客, 豪爽, 淳朴, 土气, 朴实, 粗俗, 纯朴, 奔放",1.076
东北,江西,"豪爽, 纯正, 歧视, 硬汉, 劣根性, 野蛮, 豪放, 土气, 猥琐, 好客",0.008
东北,河北,"豪放, 豪爽, 好客, 粗俗, 奔放, 劣根性, 含蓄, 淳朴, 浪漫, 绅士",0.867
东北,河南,"豪放, 奔放, 豪爽, 癖好, 硬汉, 极端, 成熟, 外向, 劣根性, 含蓄",0.44
东北,浙江,"豪爽, 硬汉, 豪放, 粗俗, 粗野, 好客, 豪迈, 土气, 奔放, 野蛮",0.521
东北,海南,"幽默, 豪爽, 猥琐, 内向, 团结, 歧视, 厚道, 老实, 劣根性, 耿直",0.249
东北,湖北,"豪放, 素质, 劣根性, 粗俗, 豪爽, 土气, 癖好, 流氓, 野蛮, 硬汉",-0.282
东北,湖南,"硬汉, 吹牛, 粗野, 豪爽, 脾气, 劣根性, 别扭, 土气, 粗俗, 野蛮",-0.574
东北,澳门,"豪爽, 豪放, 耿直, 豪迈, 厚道, 牛脾气, 气节, 朴实, 木讷, 缺德",0.635
东北,甘肃,"幽默, 绅士, 癖好, 好客, 豪爽, 素质, 外向, 内向, 猥琐, 抄袭",0.234
东北,福建,"豪放, 豪爽, 奔放, 幽默, 豪迈, 硬汉, 好客, 耿直, 刚强, 粗俗",1.229
东北,西藏,"泼妇, 口才, 素质, 鄙视, 幽默, 豪爽, 倚老卖老, 刻薄, 内向, 健谈",-0.158
东北,贵州,"硬汉, 豪放, 豪爽, 幽默, 劣根性, 流氓, 泼妇, 刚强, 血气方刚, 猥琐",0.091
东北,辽宁,"豪爽, 好客, 外向, 豪放, 劣根性, 粗俗, 淳朴, 土气, 纯朴, 奔放",0.749
东北,重庆,"气节, 骨气, 素质, 野蛮, 豪爽, 正派, 土气, 正直, 缺德, 败类",0.297
东北,陕西,"好客, 癖好, 外向, 幽默, 劣根性, 素质, 豪放, 歧视, 豪爽, 绅士",0.541
东北,青海,"幽默, 素质, 口才, 以牙还牙, 歧视, 猥琐, 泼妇, 诡辩, 劣根性, 内向",-0.834
东北,香港,"豪爽, 豪放, 牛脾气, 耿直, 豪迈, 气节, 好客, 厚道, 淳朴, 文静",1.268
东北,黑龙江,"豪爽, 好客, 豪放, 气节, 豪迈, 耿直, 骨气, 阿谀奉承, 淳朴, 劣根性",0.877
云南,上海,"谋反, 逍遥, 骁勇, 正气, 随意, 温和, 豪迈, 爱民如子, 豪爽, 慈悲",1.166
云南,东北,"功德, 漫不经心, 匆忙, 无悔, 悔恨, 恣意, 小心翼翼, 拖延, 随意, 涣散",-0.263
云南,内蒙古,"泰然, 君子, 达观, 忠孝, 乐天, 忠烈, 从容不迫, 独善其身, 从容, 慢条斯理",1.49
云南,北京,"逞强, 贪欲, 悲天悯人, 慈悲, 贪心, 任其自然, 果敢, 悔恨, 短见, 作恶多端",-0.886
云南,台湾,"寒微, 洒脱, 豪爽, 骁勇, 潇洒, 从容, 豪迈, 达观, 癫狂, 张扬",0.746
云南,吉林,"独善其身, 逍遥自在, 侠义, 果敢, 恣意, 从容, 招摇, 大义凛然, 置身事外, 逍遥",0.685
云南,四川,"温和, 逍遥自在, 淡漠, 挥霍, 风度翩翩, 恍惚, 镇静, 漫不经心, 体贴入微, 古怪",0.138
云南,天津,"果敢, 逍遥, 短见, 功德, 慈悲, 无情, 谋反, 独善其身, 贪欲, 慷慨",0.081
云南,宁夏,"独善其身, 君子, 逍遥自在, 辩才, 潇洒, 从容不迫, 置身事外, 任其自然, 风流, 幽雅",0.679
云南,安徽,"乐天, 独善其身, 独特, 逍遥自在, 功德, 逍遥, 独一无二, 达观, 幽雅, 任其自然",1.044
云南,山东,"恣意, 泰然, 逍遥自在, 任其自然, 淡漠, 漫不经心, 逍遥, 果敢, 无悔, 达观",0.51
云南,山西,"随意, 恣意, 纯洁, 幽雅, 任其自然, 泰然, 逍遥自在, 优雅, 恬静, 温柔",1.124
云南,广东,"雍容, 小心翼翼, 从容, 悲天悯人, 忸怩, 天真无邪, 恣意, 逍遥, 置身事外, 贪婪",-0.053
云南,广西,"达观, 独善其身, 悲天悯人, 小心翼翼, 慢条斯理, 谨慎, 君子, 漫不经心, 豪爽, 雍容",0.519
云南,新疆,"置身事外, 独善其身, 从容不迫, 君子, 泰然, 逍遥自在, 忠孝, 从容, 达观, 逞强",0.983
云南,江苏,"慈悲, 逍遥自在, 纯朴, 正气, 恣意, 淳朴, 功德, 朴实无华, 果敢, 招摇",1.196
云南,江西,"温柔, 脆弱, 君子, 随意, 完美, 独善其身, 雍容, 优雅, 温和, 幽雅",1.042
云南,河北,"幽雅, 短见, 慵懒, 慢条斯理, 漫不经心, 温柔, 乐天, 达观, 任其自然, 逍遥自在",0.341
云南,河南,"幽雅, 慢条斯理, 恬静, 温柔, 小心翼翼, 漫不经心, 从容不迫, 任其自然, 逍遥, 敏感",0.568
云南,浙江,"雍容, 小心翼翼, 恣意, 随意, 君子, 醇厚, 温驯, 脆弱, 古怪, 温柔",0.428
云南,海南,"从容, 谨慎, 小心, 果断, 随意, 漫不经心, 小心翼翼, 信任, 认真, 矜持",0.796
云南,湖北,"幽雅, 任其自然, 随意, 逍遥, 独特, 雍容, 恬静, 君子, 逍遥自在, 泰然",0.984
云南,湖南,"功德, 雍容, 慈悲, 逍遥, 随意, 逍遥自在, 任其自然, 君子, 漫不经心, 小心翼翼",0.637
云南,澳门,"豪爽, 文静, 豪迈, 秉性, 耿直, 寒微, 乖巧, 寡言, 君子, 木讷",0.683
云南,甘肃,"逍遥, 独善其身, 幽雅, 逍遥自在, 天真无邪, 君子, 乐天, 优雅, 潇洒, 独特",1.314
云南,福建,"妩媚, 恣意, 君子, 幽雅, 随意, 忸怩, 雍容, 从容, 洒脱, 豪爽",0.825
云南,西藏,"幸灾乐祸, 寒微, 爽快, 佩服, 漫不经心, 慢条斯理, 冷嘲热讽, 心不在焉, 多嘴, 意气风发",-0.267
云南,贵州,"温柔, 泰然, 从容, 无情, 君子, 从容不迫, 淡漠, 漫不经心, 雍容, 恬静",0.668
云南,辽宁,"慢条斯理, 随意, 漫不经心, 小心翼翼, 幽雅, 恣意, 逍遥自在, 淡漠, 从容, 居高临下",0.194
云南,重庆,"温和, 寒微, 古怪, 漫不经心, 君子, 逍遥, 居高临下, 正派, 骁勇, 淡漠",0.286
云南,陕西,"任其自然, 达观, 逍遥自在, 独善其身, 幽雅, 乐天, 知足常乐, 从良, 泰然, 粗枝大叶",0.902
云南,青海,"独善其身, 置身事外, 君子, 达观, 寒微, 泰然, 随机应变, 从容, 从容不迫, 乐观",1.05
云南,香港,"豪爽, 文静, 寒微, 洒脱, 忍心, 豪迈, 君子, 耿直, 豪放, 达观",1.072
云南,黑龙江,"忠孝, 忠烈, 果敢, 爱民如子, 泰然, 独善其身, 从容不迫, 依从, 拘泥, 逍遥自在",1.288
内蒙古,上海,"谋反, 虔诚, 背弃, 骁勇, 豪迈, 硬汉, 背叛, 舞弊, 豪放, 豪爽",0.211
内蒙古,东北,"舞弊, 涣散, 称职, 虔诚, 倚赖, 恍惚, 徇私舞弊, 瞒骗, 依从, 呆滞",-0.739
内蒙古,云南,"耐力, 硬汉, 抄袭, 志愿, 歧视, 背弃, 专一, 牛脾气, 悔改, 低能",-0.325
内蒙古,北京,"虔诚, 豪放, 贪欲, 逞强, 豪迈, 鲁莽, 纯朴, 奔放, 仁慈, 豪爽",0.636
内蒙古,台湾,"豪爽, 豪放, 耐力, 骁勇, 豪迈, 洒脱, 踏实, 稳妥, 奔放, 刻苦",1.574
内蒙古,吉林,"守约, 背弃, 虔诚, 谋反, 背信弃义, 中饱私囊, 倚赖, 野蛮, 依赖, 容忍",-0.744
内蒙古,四川,"耐力, 背弃, 徇私舞弊, 温驯, 惰性, 中饱私囊, 呆滞, 慈善, 铤而走险, 舞弊",-0.809
内蒙古,天津,"虔诚, 舞弊, 野蛮, 徇私舞弊, 宽恕, 豪放, 仁慈, 疏忽, 谋反, 果敢",-0.111
内蒙古,宁夏,"抄袭, 蹩脚, 舞弊, 志愿, 冒昧, 娴熟, 熟练, 蓄意, 刻苦, 纯正",0.073
内蒙古,安徽,"纯正, 极端, 堕落, 野蛮, 独一无二, 稳定, 虔诚, 情绪化, 狂暴, 奔放",-0.166
内蒙古,山东,"舞弊, 恣意, 明朗, 漠视, 铤而走险, 踏实, 温驯, 奔放, 主观, 果敢",0.33
内蒙古,山西,"纯洁, 奔放, 温驯, 独立, 灵活, 宽恕, 恶劣, 纯正, 歧视, 主观",0.552
内蒙古,广东,"背弃, 忸怩, 贪婪, 宽恕, 虔诚, 淳朴, 本分, 仁慈, 坚毅, 谦卑",0.532
内蒙古,广西,"背弃, 虔诚, 豪爽, 野蛮, 尊敬, 贪婪, 谦卑, 本分, 宽恕, 狂暴",0.104
内蒙古,新疆,"失信, 逞强, 瞒骗, 徇私, 清贫, 缄默, 铤而走险, 退缩, 听天由命, 节制",-1.013
内蒙古,江苏,"硬汉, 纯正, 淳朴, 纯朴, 虔诚, 粗野, 舞弊, 豪放, 悔改, 朴实",0.85
内蒙古,江西,"纯正, 耐力, 温驯, 背弃, 公平, 脆弱, 狂暴, 背叛, 完美, 温柔",0.213
内蒙古,河北,"虔诚, 豪放, 温驯, 奔放, 奢侈, 淳朴, 好客, 纯朴, 依赖, 细心",1.02
内蒙古,河南,"细腻, 温驯, 灵活, 熟练, 细致, 纯正, 敏感, 奔放, 细心, 极端",0.774
内蒙古,浙江,"温驯, 背弃, 纯正, 粗野, 虔诚, 硬汉, 背叛, 说谎, 酗酒, 野蛮",-0.489
内蒙古,海南,"舞弊, 本分, 背叛, 纯正, 欺骗, 抄袭, 老实, 野蛮, 忠诚, 徇私舞弊",-0.693
内蒙古,湖北,"公平, 豪放, 野蛮, 舞弊, 耐力, 奢侈, 纯正, 熟练, 抄袭, 虔诚",0.177
内蒙古,湖南,"虔诚, 背弃, 耐力, 硬汉, 狂暴, 纯正, 温驯, 粗野, 趁火打劫, 堕落",-0.232
内蒙古,澳门,"本分, 豪爽, 文静, 豪放, 豪迈, 木讷, 牛脾气, 野蛮, 耿直, 老实",0.518
内蒙古,甘肃,"纯正, 抄袭, 蹩脚, 耐力, 冒昧, 绅士, 素养, 细致, 娴熟, 淳朴",0.633
内蒙古,福建,"豪放, 奔放, 耐力, 豪爽, 纯洁, 忸怩, 温驯, 豪迈, 硬汉, 真挚",1.265
内蒙古,西藏,"优秀, 口才, 志愿, 能干, 抄袭, 徇私舞弊, 上进, 努力, 称职, 本分",0.853
内蒙古,贵州,"背弃, 硬汉, 背叛, 狂暴, 刚毅, 温柔, 内奸, 本能, 粗野, 坚毅",-0.101
内蒙古,辽宁,"虔诚, 瞒骗, 扯谎, 铤而走险, 温驯, 说谎, 背弃, 欺骗, 纯正, 纯朴",-0.446
内蒙古,重庆,"徇私舞弊, 耐力, 背叛, 舞弊, 背弃, 野蛮, 骁勇, 呆滞, 抄袭, 疏忽",-1.153
内蒙古,陕西,"志愿, 纯正, 耐力, 慈善, 温驯, 歧视, 纯朴, 坦承, 诚实, 抄袭",0.818
内蒙古,青海,"抄袭, 素质, 舞弊, 歧视, 口才, 素养, 志愿, 蹩脚, 优秀, 好学",0.116
内蒙古,香港,"本分, 牛脾气, 豪放, 豪爽, 专一, 文静, 耿直, 豪迈, 木讷, 淳朴",0.913
内蒙古,黑龙江,"倚赖, 依从, 虔诚, 逢迎, 中饱私囊, 英明, 爱民如子, 背弃, 果敢, 好大喜功",0.089
北京,上海,"稳定, 谋反, 可靠, 硬朗, 正气, 威风凛凛, 效忠, 实用, 祥和, 正直",1.292
北京,东北,"可靠, 卓越, 锐意, 信誉, 完美, 诚信, 慎重, 堂皇, 心术, 晚节",1.117
